Generation, Mean, Best
0,18,39
1,20,44
2,24,44
3,27,44
4,30,45
5,32,47
6,34,48
7,36,52
8,38,52
9,39,52
10,41,52
11,41,53
12,42,53
13,42,53
14,42,55
15,43,55
16,43,58
17,44,58
18,44,58
19,45,58
20,46,58
21,47,58
22,46,59
23,47,59
24,47,59
25,48,59
26,49,59
27,49,60
28,50,60
29,50,60
30,51,60
31,52,62
32,53,62
33,53,62
34,53,62
35,54,62
36,54,62
37,54,62
38,55,63
39,54,63
40,54,63
41,55,63
42,55,63
43,55,64
44,55,64
45,56,64
46,56,64
47,56,64
48,57,64
49,58,64
50,57,64
51,57,64
52,58,64
53,58,64
54,58,64
55,57,64
56,57,64
57,57,64
58,57,64
59,57,64
60,57,64
61,58,64
62,58,64
63,58,64
64,57,64
65,57,64
66,58,64
67,57,64
68,57,64
69,57,64
70,58,64
71,58,64
72,58,64
73,58,64
74,58,64
75,58,64
76,58,64
77,58,64
78,59,64
79,59,64
80,59,64
81,59,64
82,59,64
83,58,64
84,58,64
85,59,64
86,59,64
87,58,64
88,59,64
89,58,64
90,58,64
91,58,64
92,58,64
93,59,64
94,58,64
95,59,64
96,58,64
97,59,64
98,59,64
99,59,64
100,58,64
101,59,64
102,59,64
103,59,64
104,58,64
105,59,64
106,59,64
107,58,64
108,58,64
109,58,64
110,58,64
111,58,64
112,58,64
113,58,64
114,59,64
115,59,64
116,58,64
117,58,64
118,57,64
119,58,64
120,58,64
121,58,64
122,57,64
123,58,64
124,58,64
125,58,64
126,58,64
127,58,64
128,57,64
129,58,64
130,58,64
131,58,64
132,58,64
133,58,64
134,59,64
135,59,64
136,59,64
137,59,64
138,59,64
139,59,64
140,59,64
141,59,64
142,59,64
143,60,64
144,60,64
145,59,64
146,59,64
147,59,64
148,58,64
149,58,64
150,58,64
151,59,64
152,58,64
153,58,64
154,59,64
155,58,64
156,58,64
157,58,64
158,58,64
159,58,64
160,58,64
161,58,64
162,58,64
163,58,64
164,58,64
165,58,64
166,59,64
167,59,64
168,59,64
169,59,64
170,60,64
171,59,64
172,58,64
173,59,64
174,58,64
175,58,64
176,58,64
177,57,64
178,57,64
179,57,64
180,58,64
181,58,64
182,59,64
183,58,64
184,58,64
185,58,64
186,58,64
187,59,64
188,59,64
189,59,64
190,59,64
191,58,64
192,58,64
193,58,64
194,58,64
195,58,64
196,59,64
197,59,64
198,58,64
199,58,64
